schoolID,Round32,Sweet16,Elite8,Final4,Final,Champion,Round32TotalPred,Sweet16TotalPred,Elite8TotalPred,Final4TotalPred,FinalTotalPred,ChampionTotalPred,offanddef_round32pred,offanddef_sweet16pred,offanddef_elite8pred,offanddef_final4pred,offanddef_finalpred,offanddef_championpred
Saint Louis2012,1,0,0,0,0,0,0.877325771,0.178163553,-0.166643119,-0.028472481,-0.064096559,-0.00655103,0.579910182,0.343624968,-0.018829117,-0.028472481,0.026479369,0.023774471
Saint Louis2013,1,0,0,0,0,0,1.602308434,0.553530326,0.237803796,0.096646112,0.064016842,0.017234832,0.65653774,0.53478464,0.158451065,0.096646112,0.064016842,0.017234832
Saint Louis2014,1,0,0,0,0,0,1.002116188,0.510021886,-0.09144645,0.067380029,0.052478787,0.007512088,0.488197857,0.428018286,0.044905964,0.025376223,0.020186848,0.007512088
Saint Louis2019,0,0,0,0,0,0,1.242781972,1.093736623,0.564710488,0.331620529,0.143777418,0.067102425,0.829383379,0.775165443,0.383873077,0.227748675,0.096924722,0.035826581
Saint Mary's2010,1,1,0,0,0,0,1.24631354,0.851026415,-0.026946274,0.041670246,-0.002539604,-0.011735755,0.62990335,0.360495617,0.065301119,-3.34E-04,0.009866269,0.018589746
Saint Mary's2012,0,0,0,0,0,0,0.758952691,0.340851365,-0.307518433,-0.050510809,-0.058923397,-0.027436506,0.361908193,0.139571563,-0.106325594,-0.050510809,-0.014225585,0.002888995
Saint Mary's2013,0,0,0,0,0,0,0.640366508,0.499988645,0.264957823,0.135569652,0.271351296,0.017574957,0.471112868,0.295182232,0.082203948,0.031697799,0.060683624,-0.013700887
Saint Mary's2017,1,0,0,0,0,0,0.898591233,0.167374867,-0.033916844,0.042669894,0.035047242,-0.007913432,0.546973002,0.272219769,0.123234442,6.66E-04,0.002755302,-0.007913432
Saint Mary's2019,0,0,0,0,0,0,0.849751761,0.279382812,0.082161674,-0.008928349,0.020586517,0.004934791,0.659250864,0.216124899,0.082161674,-0.050932155,-0.011705423,0.004934791
Saint Peter's2011,0,0,0,0,0,0,1.576454958,0.956584877,0.500610998,0.28409365,0.150540807,0.069552517,1.057957677,0.58381025,0.361040722,0.138217991,0.071396172,0.038276673
Sam Houston St.2010,0,0,0,0,0,0,0.787029387,0.587647562,0.057586487,0.013712107,0.062009258,0.001531594,0.441033268,0.273045185,0.0318839,0.013712107,0.026919619,0.001531594
San Diego St.2010,0,0,0,0,0,0,1.364633043,0.900452433,0.265518968,0.171131043,0.08169873,0.067249835,0.902826625,0.620686535,0.242903629,0.06725919,0.045634512,0.035973992
San Diego St.2011,1,1,0,0,0,0,2.146689467,1.540938035,0.8685639,0.443527976,0.189319513,0.140339301,1.135292957,0.912786968,0.421629414,0.23259343,0.101896617,0.06247752
San Diego St.2012,0,0,0,0,0,0,0.810238017,0.469291597,0.085164451,0.084771882,0.102674028,0.021715984,0.707187092,0.34277577,0.085164451,7.64E-04,0.03809015,0.021715984
San Diego St.2013,1,0,0,0,0,0,1.123520453,0.644384605,0.244163455,0.116487788,0.032851451,0.011533384,0.71864346,0.480690746,0.225296647,0.081750802,0.032851451,0.011533384
San Diego St.2014,1,1,0,0,0,0,0.747524821,0.505671897,0.024378526,0.035634631,0.040604667,0.085379675,0.42231788,0.324884055,0.079945135,0.035634631,0.040604667,0.022374623
San Diego St.2015,1,0,0,0,0,0,1.0415543,0.478875105,0.086119163,-0.013053719,0.072150547,0.009781034,0.671707282,0.178021777,0.028178271,-0.093829598,-0.011733958,0.009781034
San Diego St.2018,0,0,0,0,0,0,1.50539226,1.026202404,0.488144335,0.289945618,0.214221063,0.141181797,0.798293986,0.558576975,0.242179702,0.105297885,0.083483862,0.019197939
Seton Hall2016,0,0,0,0,0,0,0.956295901,1.026170641,0.505428656,0.531575607,0.414201146,0.080071043,1.225589221,0.818519238,0.4691424,0.213572889,0.104937334,0.080071043
Seton Hall2017,0,0,0,0,0,0,1.598880703,1.051767424,0.41630687,0.263054501,0.204374101,0.029301887,0.898474988,0.674847036,0.300609612,0.10553783,0.088197657,0.029301887
Seton Hall2018,1,0,0,0,0,0,1.708865557,1.008954844,0.556490042,0.311441809,0.155329865,0.011025372,0.911279116,0.766497174,0.419552621,0.161191957,0.07144536,0.011025372
Seton Hall2019,0,0,0,0,0,0,1.674235619,0.902443881,0.606912906,0.312453836,0.108135666,0.105183383,1.063093545,0.739028282,0.43545982,0.170654157,0.067565467,0.058597446
Siena2010,0,0,0,0,0,0,1.304074672,0.983053758,0.485582497,0.465622453,0.149219586,0.045290484,0.873505111,0.804718687,0.323044105,0.164445909,0.079040309,0.045290484
SMU2015,0,0,0,0,0,0,1.313089915,0.07898041,0.346227049,0.119034038,0.140315137,0.081488232,0.851158769,0.524508402,0.206407066,0.011649734,0.067971719,0.033092598
SMU2017,0,0,0,0,0,0,1.375627042,1.35625516,0.632847909,0.292912195,0.212741098,0.044435027,0.86574965,0.86041552,0.43332028,0.212136317,0.093766954,0.044435027
South Carolina2017,1,1,1,1,0,0,1.776877176,1.030952654,0.338051213,0.161537497,0.063916505,0.057759283,1.086978189,0.672867282,0.338051213,0.161537497,0.063916505,0.057759283
South Dakota St.2012,0,0,0,0,0,0,0.413220469,0.241021341,0.030023506,0.006953316,0.073805248,-0.007493326,0.413220469,0.177763427,0.030023506,-0.03505049,0.041513309,-0.007493326
South Dakota St.2013,0,0,0,0,0,0,1.029379946,0.795702731,0.276114757,0.155978001,0.106786427,0.010848696,0.653394982,0.524778386,0.218358391,0.079237209,0.074494488,0.010848696
South Dakota St.2016,0,0,0,0,0,0,0.381420816,-0.339152633,-0.133480075,-0.104957849,0.022877273,-0.010696618,0.392183988,-0.100850019,-0.077913466,-0.104957849,0.022877273,-0.010696618
South Dakota St.2017,0,0,0,0,0,0,0.289617636,-0.129280217,-0.356190101,-0.117418117,-0.017144477,-0.135657739,0.186880146,-0.19612571,-0.302997774,-0.198193995,-0.008379118,-0.062526457
South Dakota St.2018,0,0,0,0,0,0,0.729340079,0.303065079,-0.049198905,-0.056714377,0.005468003,-0.027949431,0.364130759,0.066919978,-0.058689626,-0.056714377,0.005468003,-0.027949431
South Florida2012,1,0,0,0,0,0,1.284575813,0.600427,0.212728717,0.045911554,0.020059193,-0.060182903,0.524001663,0.448001551,0.131459521,0.003907748,0.045327479,0.012948379
Southern Miss2012,0,0,0,0,0,0,1.052252488,0.599338345,0.136063568,0.071082527,0.014689954,-0.032015934,0.607864881,0.410765097,0.147041766,0.071082527,0.024298128,-0.001690433
Southern2013,0,0,0,0,0,0,0.339773212,-0.323867707,-0.156620377,-0.08537384,-0.001942325,-0.025760469,0.181487793,-0.155764891,-0.059786632,-0.08537384,-0.001942325,-0.025760469
Southern2016,0,0,0,0,0,0,0.902253645,0.458820576,0.296560936,0.201803147,0.167935411,0.040615872,0.784013385,0.374731711,0.134456274,0.02624429,0.029767659,0.040615872
St. Bonaventure2012,0,0,0,0,0,0,0.478006279,-0.227676126,-0.196888011,-0.09854963,0.007111123,-0.037227452,0.392950583,0.015386175,-0.044487657,-0.09854963,0.007111123,-0.037227452
St. Bonaventure2018,0,0,0,0,0,0,1.320592167,1.154372907,0.721778649,0.257878885,0.120865798,0.070555333,1.003476311,0.762173281,0.32846491,0.119270045,0.074013102,0.039279489
St. John's2011,0,0,0,0,0,0,0.578443822,0.411828906,0.0435274,0.007554132,0.010277353,-0.011195258,0.342330686,0.283856089,0.019741278,0.007554132,0.010277353,-0.011195258
St. John's2015,0,0,0,0,0,0,0.814463248,0.500752495,0.32544668,0.233276427,0.153911048,0.080455558,0.712594854,0.460078129,0.241193308,0.125892123,0.08156763,0.032059924
St. John's2019,0,0,0,0,0,0,1.148173135,0.862775149,0.49143195,0.229358375,0.080324995,0.055036051,0.83861823,0.668979126,0.375919217,0.159884402,0.080324995,0.055036051
Stanford2014,1,1,0,0,0,0,1.402143298,1.040254149,0.4935037,0.283826578,0.137224312,0.082697492,0.712027772,0.677660929,0.259187113,0.176763886,0.096654113,0.036111555
Stephen F. Austin2014,1,0,0,0,0,0,1.199114057,0.517234529,0.135743454,0.037243486,0.007884804,0.005517284,0.678645913,0.225479233,0.077987088,0.002506499,0.007884804,0.005517284
Stephen F. Austin2015,0,0,0,0,0,0,0.537363215,-0.087503265,-0.250893451,-0.081364018,-0.01583451,-0.022205653,0.463661783,0.044790616,-0.038175556,-0.081364018,-0.01583451,-0.022205653
Stephen F. Austin2016,1,0,0,0,0,0,0.401599043,-0.107502035,-0.248432011,-0.060856526,-0.043012506,-0.017571264,0.212704158,-6.41E-04,-0.084167581,-0.060856526,0.002865611,-0.017571264
Stephen F. Austin2018,0,0,0,0,0,0,0.320926319,-0.190046672,-0.310173883,-0.18398914,-0.047572721,-0.030128251,0.131470312,-0.147320537,-0.222830859,-0.18398914,-0.047572721,-0.030128251
Stony Brook2016,0,0,0,0,0,0,0.826060063,0.455774024,0.307220105,0.2029636,0.141360243,0.0502935,0.660917133,0.357338746,0.150168816,0.057087941,0.062215608,0.019017657
Syracuse2010,1,1,0,0,0,0,1.479120467,1.287874761,0.41289385,0.265787453,0.098026288,0.16181586,0.980568643,0.694239324,0.31130883,0.15872476,0.057456088,0.05222487
Syracuse2011,1,0,0,0,0,0,1.640408409,1.048824128,0.683340221,0.32253902,0.18601315,0.136750604,1.177149217,0.698283638,0.315939402,0.111282862,0.066817037,0.057079127
Syracuse2012,1,1,1,0,0,0,2.673404136,2.061672884,0.991385331,0.413281682,0.22432338,0.143703866,1.605184523,1.188352522,0.617293889,0.305897377,0.151979962,0.095308233
